cts_ln,speaker,perseus,comp,anceps_n,anceps,elision
['1'],['#medea'],"Di coniugales tuque genialis tori,",0.8,0, di* co_nju^ga_le*s tu_qve^ ge^ni^a*li_s to^ri*,0
['2'],['#medea'],"Lucina, custos quaeque domituram freta",0.8235294117647058,1,lu*ci_na^ cu_sto*s qv[ae]qve^ do^mi^tu*ra_m fre^ta*,0
['3'],['#medea'],"Tiphyn novam frenare docuisti ratem,",1.0,2, ti*phy_n no^va_m fre*na_re^ do^cu^i*sti_ ra^te*m,0
['4'],['#medea'],"et tu, profundi saeve dominator maris,",1.0,3, e*t tu_ pro^fu_ndi* s[ae]ve^ do^mi^na*to_r ma^ri*s,0
['5'],['#medea'],"clarumque Titan dividens orbi diem,",0.9032258064516129,4, cla*ru_mqve^ ti_ta*n di_vi^de_ns o*rbi_ di^e*m,0
['6'],['#medea'],tacitisque praebens conscium sacris iubar,0.8421052631578947,5, ta^ci^ti_sqve^ pr[ae]be*ns co_nsci^u_m sa*cri_s ju^ba*r,0
['7'],['#medea'],"Hecate triformis, quosque iuravit mihi",0.7352941176470589,6, he^ca^te_ tri^fo_rmi*s qvo_sqve^ ju_ra*vi_t mi^hi*,0
['8'],['#medea'],"deos Iason, quosque Medeae magis",0.7857142857142857,7, de*o_s i^a_so*n qvo_sqve^ me_de*[ae] ma^gi*s,0
['9'],['#medea'],"fas est precari: noctis aeternae chaos,",1.0,8, fa*s e_st pre^ca_ri* no_cti^s [ae]te*rn[ae] cha^o*s,0
['10'],['#medea'],aversa superis regna manesque impios,0.9090909090909091,9, a*ve_rsa^ su^pe^ri*s re_gna^ ma_ne*sqv(e) i_mpi^o*s,1
['11'],['#medea'],dominumque regni tristis et dominam fide,0.918918918918919,10, do^mi^nu_mqve^ re_gni* tri_sti^s e_t do^mi^na_m fi^de*,0
['12'],['#medea'],"meliore raptam, voce non fausta precor,",1.0,11, me^li^o_re^ ra_pta*m vo_ce^ no_n f[au]sta_ pre^co*r,0
