perseus_n,perseus_text,comp,anceps_n,anceps_text,speaker,elision,speech
['1'],"Di coniugales tuque genialis tori,",0.8,0, di* co_nju^ga_le*s tu_qve^ ge^ni^a*li_s to^ri*,['#medea'],0,1
['2'],"Lucina, custos quaeque domituram freta",0.823529412,1,lu*ci_na^ cu_sto*s qv[ae]qve^ do^mi^tu*ra_m fre^ta*,['#medea'],0,1
['3'],"Tiphyn novam frenare docuisti ratem,",1,2, ti*phy_n no^va_m fre*na_re^ do^cu^i*sti_ ra^te*m,['#medea'],0,1
['4'],"et tu, profundi saeve dominator maris,",1,3, e*t tu_ pro^fu_ndi* s[ae]ve^ do^mi^na*to_r ma^ri*s,['#medea'],0,1
['5'],"clarumque Titan dividens orbi diem,",0.903225806,4, cla*ru_mqve^ ti_ta*n di_vi^de_ns o*rbi_ di^e*m,['#medea'],0,1
['6'],tacitisque praebens conscium sacris iubar,0.842105263,5, ta^ci^ti_sqve^ pr[ae]be*ns co_nsci^u_m sa*cri_s ju^ba*r,['#medea'],0,1
['7'],"Hecate triformis, quosque iuravit mihi",0.735294118,6, he^ca^te_ tri^fo_rmi*s qvo_sqve^ ju_ra*vi_t mi^hi*,['#medea'],0,1
['8'],"deos Iason, quosque Medeae magis",0.785714286,7, de*o_s i^a_so*n qvo_sqve^ me_de*[ae] ma^gi*s,['#medea'],0,1
['9'],"fas est precari: noctis aeternae chaos,",1,8, fa*s e_st pre^ca_ri* no_cti^s [ae]te*rn[ae] cha^o*s,['#medea'],0,1
['10'],aversa superis regna manesque impios,0.909090909,9, a*ve_rsa^ su^pe^ri*s re_gna^ ma_ne*sqv(e) i_mpi^o*s,['#medea'],1,1
['11'],dominumque regni tristis et dominam fide,0.918918919,10, do^mi^nu_mqve^ re_gni* tri_sti^s e_t do^mi^na_m fi^de*,['#medea'],0,1
['12'],"meliore raptam, voce non fausta precor,",1,11, me^li^o_re^ ra_pta*m vo_ce^ no_n f[au]sta_ pre^co*r,['#medea'],0,1
['13'],"nunc, nunc adeste, sceleris ultrices deae,",1,12, nu*nc nu_nc a^de_ste* sce^le^ri^s u_ltri*ce_s de^[ae],['#medea'],0,1
['14'],"crinem solutis squalidae serpentibus,",0.909090909,13, cri*ne_m so^lu_ti*s sqva_li^d[ae] se*rpe_nti^bu*s,['#medea'],0,1
['15'],"atram cruentis manibus amplexae facem,",1,14, a*tra_m cru^e_nti*s ma^ni^bu^s a_mple*x[ae] fa^ce*m,['#medea'],0,1
['16'],"adeste, thalamis horridae quondam meis",0.911764706,15, a*de_ste^ tha^la^mi*s ho_rri^d[ae] qvo*nda_m me^i*s,['#medea'],0,1
['17'],quales stetistis: coniugi letum novae,0.848484848,16, qva*le_s ste^ti_sti*s co_nju^gi_ le*tu_m no^v[ae],['#medea'],0,1
['18'],"letumque socero et regiae stirpi date,",0.911764706,17, le*tu_mqve^ so^ce^r(o) e*t re_gi^[ae] sti*rpi_ da^te*,['#medea'],1,1
['19'],"date peius aliud, quod precer sponso malum:",0.657894737,18, nu*m pe_ju^s a^li^qvi*d qvo_d pre^ce_r spo*nso_ ma^lu*m,['#medea'],0,1
['20'],"vivat, per urbes erret ignotas egens",1,19, vi*va_t pe^r u_rbe*s e_rre^t i_gno*ta_s e^ge*ns,['#medea'],0,1
['21'],"exul pavens invisus incerti laris,",1,20, e*xu_l pa^ve_ns i*nvi_su^s i_nce*rti_ la^ri*s,['#medea'],0,1
['23a22b'],"iam notus hospes limen alienum expetat,",0.971428571,21, ja*m no_tu^s ho_spe*s li_me^n a^li^e*n(u)m e_xpe^ta*t,['#medea'],1,1
['22a23b'],me coniugem optet quoque non aliud queam,0.567567568,22, me* co_nju^g(e)m o_pto* qvo_qve^ no_n a^li^u_d qve^a*m,['#medea'],1,1
['24'],"peius precari, liberos similes patri """,0.90625,23, pe*ju_s pre^ca_ri* li_be^ro_s si^mi^le_s pa^tri*,['#medea'],0,1
['25'],"similesque matri, parta iam, parta ultio est:",0.846153846,24, si^mi^le_sqve^ ma_tri* pa_rta^ ja_m pa*rt(a) u_lti^(o) e*st,['#medea'],2,1
['26'],"peperi, querelas verbaque in cassum sero?",0.916666667,25,pe^pe^ri_ que^re_la*s ue_rba^que i_n ca*ssu_m se^ro*,['#medea'],0,1
['27'],non ibo in hostes? manibus excutiam faces,1,26, no*n i_b(o) i^n ho_ste*s ma^ni^bu^s e_xcu^ti^a_m fa^ce*s,['#medea'],1,1
['28'],"caeloque lucem, spectat hoc nostri sator",0.916666667,27, c[ae]lo_qve^ lu_ce*m spe_cta^t ho_c no*stri_ sa^to*r,['#medea'],0,1
